Id,Name,Latitude,Longitude,Altitude,Timezone,Recordings_Count,Deployed,Updated
66982,Abeja,-1.8392912,-77.8381881,819.2,America/Guayaquil,14330,no data,2024-12-19 12:51:33
66380,Aja,-1.8374328,-77.8289628,907.6,America/Guayaquil,11786,no data,2024-11-28 10:21:33
71861,Ampush 6,-1.8419906,-77.8307614,874.2,America/Guayaquil,5415,no data,2025-05-08 18:40:14
71862,Ampush 8,-1.8419906,-77.8307614,874.2,America/Guayaquil,9030,no data,2025-05-08 18:41:44
71279,Apai 6,-1.8362201,-77.8350968,934.5,America/Guayaquil,6159,no data,2025-04-23 22:22:59
71280,Apai 8,-1.8362201,-77.8350968,934.5,America/Guayaquil,9787,no data,2025-04-23 22:23:49
66984,Arbol Gemelo,-1.8385405,-77.8300568,866.1,America/Guayaquil,15711,no data,2024-12-19 14:34:43
71893,Asak 6,-1.8421934,-77.8299887,886,America/Guayaquil,1800,no data,2025-05-09 09:47:53
66985,Camino animal 6,-1.8387969,-77.829497,901.3,America/Guayaquil,14331,no data,2025-05-09 11:14:47
71927,Camino animal 8,-1.8387969,-77.829497,901.3,America/Guayaquil,4230,no data,2025-05-09 11:15:23
66395,Casa ratón,-1.8386309,-77.8302353,865.4,America/Guayaquil,12279,no data,2024-11-28 17:25:20
66378,Chacra,-1.8375442,-77.8293833,940.8,America/Guayaquil,9772,no data,2024-11-28 09:30:23
71297,Chinchak 8,-1.83535,-77.830545,911.6,America/Guayaquil,6555,no data,2025-04-23 23:58:17
66125,Chini,-1.8392912,-77.8381881,819.2,America/Guayaquil,10546,no data,2024-11-19 23:54:08
71292,Esem 6,-1.8434956,-77.8343476,939.6,America/Guayaquil,3324,no data,2025-04-23 23:35:15
71293,Esem 8,-1.8434956,-77.8343476,939.6,America/Guayaquil,3321,no data,2025-04-23 23:35:59
63475,Etsa naek,-1.8399963,-77.8318549,949.3,America/Guayaquil,11283,no data,2024-09-19 18:14:34
71860,Jea 6,-1.8400536,-77.8290682,921.9,America/Guayaquil,5153,no data,2025-05-08 17:52:28
71281,Jea E 8,-1.8421253,-77.8285107,930.9,America/Guayaquil,5764,no data,2025-04-23 22:32:19
62564,Jintia,-1.8403749,-77.835488,913.4,America/Guayaquil,13758,no data,2024-09-06 09:31:20
71285,Kamancha 6,-1.8427785,-77.8396365,818,America/Guayaquil,317,no data,2025-04-23 23:03:10
66988,Kankap,-1.8418298,-77.8289571,927.1,America/Guayaquil,9215,no data,2024-12-19 22:59:46
63476,Kashai,-1.8390995,-77.8304255,941.5,America/Guayaquil,11308,no data,2024-09-19 18:17:41
71814,Keach 48,-1.8391731,-77.8403883,813.3,America/Guayaquil,9809,no data,2025-05-07 17:11:41
73742,Kunkuk 6,-1.8422539,-77.8337129,878.6,America/Guayaquil,8331,no data,2025-06-05 21:38:05
66124,Laguna Puach,-1.8391335,-77.8370234,859,America/Guayaquil,6960,no data,2024-11-19 22:26:39
63469,Mejech,-1.8402241,-77.8361426,872,America/Guayaquil,5399,no data,2024-09-19 14:41:50
68754,Nam,-1.8388235,-77.839829,780.5,America/Guayaquil,3659,no data,2025-02-19 01:12:42
63474,Numi Uunt,-1.8401111,-77.8318655,949,America/Guayaquil,6645,no data,2024-09-19 18:08:54
71288,Osadero de Tuich 6,-1.8390652,-77.8304636,942.3,America/Guayaquil,9428,no data,2025-04-23 23:19:59
71289,Osadero de Tuich 8,-1.8390652,-77.8304636,942.3,America/Guayaquil,15988,no data,2025-04-23 23:20:48
65324,Paini,-1.8392733,-77.8382104,881.6,America/Guayaquil,7143,no data,2024-10-17 09:39:58
71290,Pitiuk 6,-1.8390385,-77.8391409,783,America/Guayaquil,3397,no data,2025-04-23 23:25:18
71291,Pitiuk 8,-1.8390385,-77.8391409,783,America/Guayaquil,12202,no data,2025-04-23 23:26:41
66123,Puach,-1.8391335,-77.8370234,859,America/Guayaquil,6660,no data,2024-11-19 20:53:11
66983,Realce,-1.8409405,-77.8364696,858,America/Guayaquil,16962,no data,2024-12-19 13:49:21
74707,Realce 6,-1.8409405,-77.8364696,858,America/Guayaquil,9441,no data,2025-06-13 11:02:59
68752,Sankap,-1.8372089,-77.8422501,744.7,America/Guayaquil,11454,no data,2025-02-18 21:22:34
71294,Sankap 8,-1.8372089,-77.8422501,744.7,America/Guayaquil,4162,no data,2025-04-23 23:42:20
66393,Selva Planada,-1.8412596,-77.8366466,870,America/Guayaquil,9843,no data,2024-11-28 16:59:41
65326,Shuinia,-1.8352395,-77.8310954,922.7,America/Guayaquil,11397,no data,2024-10-17 10:28:33
71295,Shuinia 6,-1.8350983,-77.831033,920.3,America/Guayaquil,5250,no data,2025-04-23 23:48:20
63164,Shushui,-1.8410152,-77.8333022,951.8,America/Guayaquil,13869,no data,2024-09-17 14:05:12
71296,Shushui 8,-1.8410152,-77.8333022,951.8,America/Guayaquil,3206,no data,2025-04-23 23:54:52
71282,Tauch 6,-1.8396414,-77.837397,833.2,America/Guayaquil,5038,no data,2025-04-23 22:37:51
63042,Teren,-1.8403696,-77.8354338,933.7,America/Guayaquil,6840,no data,2024-09-14 06:55:00
71815,Tseik 96,-1.8407214,-77.8287247,914.4,America/Guayaquil,5891,no data,2025-05-07 19:31:04
71298,Tsentsanka 6,-1.8393318,-77.8286835,904.8,America/Guayaquil,6724,no data,2025-04-24 00:03:04
71299,Tsentsanka 8,-1.8393318,-77.8286835,904.8,America/Guayaquil,5960,no data,2025-04-24 00:03:44
63477,Tuich,-1.8390652,-77.8304636,942.3,America/Guayaquil,4681,no data,2024-09-19 18:18:40
71277,Wampa 6,-1.8411106,-77.8293442,912.5,America/Guayaquil,1562,no data,2025-04-23 22:16:13
71278,Wampa 8,-1.8411106,-77.8293442,912.5,America/Guayaquil,1651,no data,2025-04-23 22:18:47
71276,Week,-1.8364657,-77.8349975,927.5,America/Guayaquil,12412,no data,2025-04-23 22:10:38
71817,Wichim 6,-1.841589,-77.831066,918.7,America/Guayaquil,2770,no data,2025-05-07 21:10:03
71816,Wichim 8,-1.841589,-77.831066,918.7,America/Guayaquil,2589,no data,2025-05-07 21:09:21
63467,Yumpinkia,-1.8405246,-77.8364422,877,America/Guayaquil,8450,no data,2024-09-19 14:32:28
66987,Yurank,-1.838534,-77.8380981,830.9,America/Guayaquil,9477,no data,2024-12-19 15:39:03
71286,Zona Guadua 6,-1.8387941,-77.8355667,876,America/Guayaquil,14400,no data,2025-04-23 23:05:57
71287,Zona Guadua 8,-1.8387941,-77.8355667,876,America/Guayaquil,20336,no data,2025-04-23 23:06:48
71283,Zona kunt 6,-1.8396008,-77.8357492,879,America/Guayaquil,3911,no data,2025-04-23 22:57:20
71284,Zona Kunt 8,-1.8396008,-77.8357492,879,America/Guayaquil,6728,no data,2025-04-23 22:58:20
