species_id,scientific_name,family,taxon,songtype_id,songtype
8459,Zoothera turipavae,Turdidae,Birds,2,Courtship Song
40987,Thraupis episcopus [cana Group],Thraupidae,Birds,1,Common Song
25260,Dryocopus lineatus lineatus,Picidae,Birds,1,Common Song
19545,Geotrygon purpurata,Columbidae,Birds,1,Common Song
10375,Tangara parzudakii,Thraupidae,Birds,1,Common Song
10362,Tangara chilensis,Thraupidae,Birds,1,Common Song
10323,Tangara palmarum,Thraupidae,Birds,1,Common Song
10312,Ramphocelus carbo,Thraupidae,Birds,1,Common Song
9827,Cacicus cela,Icteridae,Birds,1,Common Song
9820,Psarocolius angustifrons,Icteridae,Birds,1,Common Song
9817,Psarocolius decumanus,Icteridae,Birds,1,Common Song
9775,Myioborus miniatus,Parulidae,Birds,1,Common Song
9518,Serinus canaria,Fringillidae,Birds,1,Common Song
8557,Turdus grayi,Turdidae,Birds,1,Common Song
8185,Henicorhina leucosticta,Troglodytidae,Birds,1,Common Song
8118,Campylorhynchus turdinus,Troglodytidae,Birds,1,Common Song
6596,Cyanocorax violaceus,Corvidae,Birds,1,Common Song
5616,Xiphorhynchus guttatus,Dendrocolaptidae,Birds,1,Common Song
5557,Automolus ochrolaemus,Furnariidae,Birds,1,Common Song
5007,Thamnophilus murinus,Thamnophilidae,Birds,1,Common Song
5003,Thamnophilus cryptoleucus,Thamnophilidae,Birds,1,Common Song
4949,Myiarchus tuberculifer,Tyrannidae,Birds,1,Common Song
4931,Tyrannus melancholicus,Tyrannidae,Birds,1,Common Song
4767,Tolmomyias poliocephalus,Tyrannidae,Birds,1,Common Song
4734,Lophotriccus vitiosus,Tyrannidae,Birds,1,Common Song
4460,Piprites chloris,Pipridae,Birds,1,Common Song
3966,Ramphastos tucanus,Ramphastidae,Birds,1,Common Song
3941,Pteroglossus castanotis,Ramphastidae,Birds,1,Common Song
3683,Trogon viridis,Trogonidae,Birds,1,Common Song
3669,Harpactes orrhophaeus,Trogonidae,Birds,1,Common Song
3541,Coeligena torquata,Trochilidae,Birds,1,Common Song
3087,Nyctibius griseus,Nyctibiidae,Birds,1,Common Song
3025,Athene brama,Strigidae,Birds,1,Common Song
2969,Strix aluco,Strigidae,Birds,1,Common Song
2897,Otus spilocephalus,Strigidae,Birds,1,Common Song
2882,Megascops watsonii,Strigidae,Birds,1,Common Song
2628,Pionus menstruus,Psittacidae,Birds,1,Common Song
2613,Pionites leucogaster,Psittacidae,Birds,1,Common Song
2599,Brotogeris cyanoptera,Psittacidae,Birds,1,Common Song
2111,Geotrygon saphirina,Columbidae,Birds,1,Common Song
1256,Buteo magnirostris,Accipitridae,Birds,1,Common Song
1202,Accipiter virgatus,Accipitridae,Birds,1,Common Song
1017,Herpetotheres cachinnans,Falconidae,Birds,1,Common Song
100,Nothura maculosa,Tinamidae,Birds,1,Common Song
96,Nothoprocta perdicaria,Tinamidae,Birds,1,Common Song
83,Crypturellus variegatus,Tinamidae,Birds,1,Common Song
72,Crypturellus transfasciatus,Tinamidae,Birds,1,Common Song
67,Crypturellus soui,Tinamidae,Birds,1,Common Song
66,Crypturellus cinereus,Tinamidae,Birds,1,Common Song
45,Vanellus chilensis,Charadriidae,Birds,1,Common Song
11,Attila spadiceus,Tyrannidae,Birds,1,Common Song
1,Ictinia plumbea,Accipitridae,Birds,1,Common Song
5557,Automolus ochrolaemus,Furnariidae,Birds,7,Alternative Song 2
32,Rana grylio,Struthionidae,Amphibians,4,Simple Call
14924,Phyllomedusa coelestis,Hylidae,Amphibians,1,Common Song
13980,Mantella aurantiaca,Mantellidae,Amphibians,1,Common Song
11470,Bufo bufo,Bufonidae,Amphibians,1,Common Song
4,Rana catesbeiana,Struthionidae,Amphibians,1,Common Song
48599,Dorisiana noriegai,Cicadidae,Insects,1,Common Song
48598,Quesada gigas,Cicadidae,Insects,1,Common Song
47,Gryllus campestris,Rheidae,Insects,1,Common Song
16750,Cuniculus paca,Cuniculidae,Mammals,3,Territorial Song
44468,Holochilus sciureus,Cricetidae,Mammals,4,Simple Call
48401,Uroderma magnirostrum,Phyllostomidae,Mammals,1,Common Song
46740,Philander andersoni,Didelphidae,Mammals,1,Common Song
46458,Panthera onca,Felidae,Mammals,1,Common Song
45140,Mazama americana,Cervidae,Mammals,1,Common Song
44766,Leontocebus nigricollis,Cebidae,Mammals,1,Common Song
44468,Holochilus sciureus,Cricetidae,Mammals,1,Common Song
43595,Dasypus novemcinctus,Dasypodidae,Mammals,1,Common Song
43577,Dasyprocta fuliginosa,Dasyproctidae,Mammals,1,Common Song
43097,Coendou bicolor,Erethizontidae,Mammals,1,Common Song
42847,Cebuella pygmaea,Cebidae,Mammals,1,Common Song
42840,Cavia aperea,Caviidae,Mammals,1,Common Song
42434,Aotus zonalis,Cebidae,Mammals,1,Common Song
16753,Nasua nasua,Procyonidae,Mammals,1,Common Song
16752,Dasyprocta agouti,Dasyproctidae,Mammals,1,Common Song
16750,Cuniculus paca,Cuniculidae,Mammals,1,Common Song
16743,Pecari tajacu,Tayassuidae,Mammals,1,Common Song
48723,Crocodylus porosus,Crocodylidae,Reptiles,1,Common Song
