Chapter,Latitude,Longitude,Description,Zoom,Media Link,Audio
Secha,-1.8371007,-77.8285956,"Con su pecho turquesa, su capuchón verde limón y su espalda roja, esta criatura cuenta entre las aves más vistosas del Mundo. la hembra tiene plumaje idéntico al del macho. Las demás tangaras amazónicas se visten con otras combinaciones de colores brillantes.",15,photos,audio
Jeempe,-1.8423318,-77.8388233,"Este tipo de ave pasa cantado cuando una persona o varias personas están en un lugar para alertarles que va llover en algún momento o va suceder algo malo, o escuchar una mala noticia o también cuando no se va hacer lo que está pensando hacer",16, ,audio
Chiachia,-1.8409405,-77.8364696,Hace el canto alrededor de las 6:00-6:30 pm alertando a su alrededor que está acercándose el anochecer, por eso nuestros abuelos cuando no tenían reloj con el sonido de la cigarra podían determinar el tiempo y se apuraban en llegar pronto al lugar del destino antes de que se anochezca,17, ,audio
Makantua,-1.8401111,-77.8318655,"Esta ave no se escucha con frecuencia ya que es un tipo de ave malagüero ya que cuando se escucha el canto de esta ave muchas de las veces son para anticipar que se acontecerá una mala noticia en la familia o en la zona. Por eso nuestros abuelos solían prepararse para cualquier circunstancia",15,photos,audio
Suu Ampush,-1.8350983,-77.831033,"Este tipo de ave canta cuando ya es la madrugada",16, ,audio
Shushui,-1.8387533,-77.8296236,"Los armadillos son animales nocturnos y excavadores, y su dieta incluye insectos y materia orgánica",17,photos
Kashai,-1.8386442,-77.8297034,La guanta mantiene un sistema de caminos por los cuales se traslada de la madriguera hacia las zonas de alimentación y fuentes de agua, es frecuente encontrarlas cerca de cuerpos de agua; a diferencia de la guatusa, la guanta es buena nadadora y utiliza el agua para escapar de sus enemigos.,18,photos
Kaniuk,-1.8391335,-77.8370234,"Es una especie que tiene la costumbre de transportar y esconder sus alimentos en la tierra, las semillas enterradas son útiles cuando escasea el alimento, pero no todas son recuperadas, por lo cual varias germinan dispersando de esta manera plantas que le servirán de alimento",16,photos
Japa,-1.8403918,-77.8355489,"En la Amazonía ecuatoriana se pueden encontrar tanto el venado colorado (Mazama zamora), como el venado andino (Odocoileus virginianus), siendo este último más común en zonas de páramo y bosques andinos, pero también presente en la Amazonía",15,photos
Kushi,-1.8411106,-77.8293442,"Es un mamífero omnívoro que se encuentra en la Amazonía ecuatoriana y otras zonas tropicales y subtropicales del Neotrópico. Son animales diurnos y excelentes trepadores, que se alimentan de frutas, invertebrados y otros pequeños animales",17,photos
Ltepes Corridor,1.11357,37.46995,"A natural elephant pathway winding through the bush, guiding herds safely toward the Releasing Pan.",16,,audio
Ltepes Corridor 2,1.11613,37.46782,A second location along elephant corridor guiding movement from browsing areas toward water sources.,18,,audio
Ltorot Lolgiria,1.1151,37.4648,"A water point named after the Lgiriai tree, offering a vital watering spot for wildlife.",15,,audio
Ltorot Lolgiria 2,1.1135,37.4649,"Another key water point near Lgiriai trees, essential for wildlife hydration and movement.",18,,audio
Nelmasuuti 1,1.1177,37.4655,"A peaceful spot near Reteti Elephant Sanctuary with abundant Lmasuuti grass, perfect for elephants to browse and rest.",16,,audio
Nelmasuuti 2,1.1172,37.4659,"A grassy browsing and resting area near Reteti Elephant Sanctuary, rich in Lmasuuti grass favored by elephants.",17,,audio
Nelmasuuti 3,1.1173,37.4669,"A serene, grassy hilltop near Reteti blanketed with Lmasuuti grass, offering sweeping views and attracting elephants and grazing wildlife.",16,,audio
Nelmasuuti 5,1.1164,37.4691,"A grassy hilltop browsing zone near Reteti, dominated by the nutritious Lmasuuti grass favored by elephants.",17,,audio
Nelmasuuti 6,1.1168,37.4677,A peaceful browsing and resting area covered with Lmasuuti grass near Reteti Elephant Sanctuary.,16,,audio
Nkapune Rock Cave,1.1055,37.4599,"A natural cave that has been home, at different times over the years, to leopards, hyenas, and porcupines.",15,,audio
Nkongu,1.0142,37.4037,"Named after the local word for “eye,” this spot features a gentle, constant water flow likened to flowing tears.",18,,audio
Nkutoto Elmasuuti 3,1.12,37.46805,A serene browsing and resting spot with Lmasuuti grass near Reteti Elephant Sanctuary.,17,photos, 
Nkutoto Elmasuuti 4,1.12104,37.46904,Quiet browsing and resting area with Lmasuuti grass near Reteti Elephant Sanctuary.,18,,audio
Quarantine,1.11567,37.46021,Calm area beside the Reteti Sanctuary used for isolating and caring for baby elephants.,16,,audio
Release Corridor 2,1.1143675,37.47596158,A natural elephant pathway guiding herds from the wild to the Releasing Pan for water and social gathering.,17,,audio
Reteti House Lawai Resting,1.111,37.4543,"A resting spot under the large Lawai tree, favored by the Big Five animals.",15,,audio
Reteti House Road Corridor,1.1071,37.4568,A key wildlife corridor leading directly to the Reteti House waterpoint.,18,,audio
Reteti Old Road,1.1118,37.4613,"Former access road to Reteti Elephant Sanctuary from nearby villages, now unused but still an important elephant corridor.",16,,audio
Safaricom Rock,1.11851,37.46338,"A landmark rock once known for receiving Safaricom mobile signal, now part of an elephant corridor leading to key browsing areas.",17,photos,audio
Safaricom Rock 2,1.1159,37.4647,A seasonal watering spot at the landmark rock known for strong Safaricom signal.,15,,audio
Sarara Naado,1.0581,37.4077,"A deep well area on the lower side of Nchoro Ngiro River, where elephants and herders access water during dry seasons.",16,,audio
Singing Wells 1,1.0437548,37.4095797,Traditional wells along the Nchoro Ngiro River where wild elephants gather to drink.,15,,audio
Singing Wells 2,1.0444,37.4089,"Another key watering spot along Nchoro Ngiro River, frequented by wild elephants and other wildlife.",18,,audio
Soito Naarok,1.1203,37.4588,Soito Naarok is a distinctive black rock. The area around the rock serves as a key browsing spot for elephants.,16,,audio
Soito Naarok Waterpoint,1.1199,37.46,"A water point near the iconic black rock, frequented by elephants and other wildlife.",17,,audio
Stables,1.1147,37.460833,A quiet site located within the elephants’ stables where the released herd often rests.,16,,audio
Tree House,0.9958217,37.4072075,"A scenic water point near the Tree House Lodge, where elevated lodges offer views of wildlife coming to drink.",15,,audio


